,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,DT1,DT2,DT3,DT4,DT5,MDT1,MDT2,MDT3,MDT4,M1,M2,M3,M4,M5
360-Degree Feedback,3,1,10,1,1,3,6,10,1,2,0,0,0,0,0,8,2,9,8,1,9,7,7,7
6-3-5 Method,2,1,9,1,1,2,10,3,1,3,0,0,0,0,0,9,2,9,7,1,5,5,2,2
A3 - Report,7,7,2,5,5,7,4,6,5,4,0,0,0,0,0,8,2,5,8,3,9,7,7,7
Brainstorming,2,1,8,1,1,1,10,6,2,3,0,0,0,0,0,8,1,9,8,1,2,7,1,9
Communication Plan,3,1,10,6,4,7,2,4,7,4,0,0,0,0,0,8,2,5,9,1,9,7,5,8
Critical-to-Quality Tree Method,6,7,2,6,6,5,7,6,4,7,0,0,0,0,0,7,2,9,8,3,5,3,4,7
Decision Tree,6,9,1,1,6,5,6,4,2,8,0,0,0,0,0,5,8,9,8,7,9,9,7,3
Eisenhower Matrix,2,3,6,3,9,5,1,5,7,3,0,0,0,0,0,8,2,9,8,1,5,3,1,1
Gantt-Chart,9,3,6,8,10,8,1,2,10,8,0,0,0,0,0,8,2,9,8,1,9,5,1,3
Interview,1,8,8,6,1,1,6,10,1,2,0,0,0,0,0,8,1,5,8,1,9,4,2,7
Issues Mapping,6,6,4,2,5,5,7,8,5,8,0,0,0,0,0,8,7,9,8,1,9,7,5,7
Matrix Diagram,6,7,2,6,5,7,4,3,4,10,0,0,0,0,0,8,7,5,8,6,9,7,7,5
Mind Mapping,6,3,7,1,1,9,9,8,7,10,0,0,0,0,0,7,1,5,8,1,1,4,1,8
Observation,1,7,5,10,1,1,6,8,1,1,0,0,0,0,0,8,1,9,9,2,5,3,2,7
Portfolio Analysis,6,9,1,1,8,5,6,1,5,2,0,0,0,0,0,5,7,9,4,8,5,9,8,4
Pro and Contra List,2,6,3,5,3,4,7,6,4,3,0,0,0,0,0,8,1,9,5,1,1,2,1,5
Process Modeling,10,2,1,8,6,8,3,2,8,8,0,0,0,0,0,5,7,5,8,6,9,7,7,3
Project Charter,3,2,6,8,9,10,2,3,10,5,0,0,0,0,0,8,2,9,8,1,9,3,2,7
Six Thinking Hats,2,1,8,1,1,2,9,3,1,4,0,0,0,0,0,8,2,9,8,1,9,3,2,7
To-do Lists,4,2,4,8,7,7,1,7,8,4,0,0,0,0,0,9,1,9,7,1,1,1,1,9
User Stories,6,8,5,6,6,8,8,3,6,3,0,0,0,0,0,8,2,9,9,2,9,2,5,2
Utility Analysis,5,10,1,1,6,5,3,1,4,3,0,0,0,0,0,5,7,5,9,6,9,7,7,3
Value Stream Mapping ,9,9,2,3,6,5,2,1,8,8,0,0,0,0,0,7,7,5,7,3,7,9,8,2
3D Modeling and Animation,3,3,2,2,2,6,10,2,3,10,6,9,3,7,5,8,7,9,9,0,0,0,0,0
AI Assistants and Chatbots,6,9,9,2,4,3,10,9,8,4,6,9,1,7,9,8,8,9,8,0,0,0,0,0
Augmented & Virtual Reality Development Platforms,5,3,2,2,2,7,10,9,4,9,6,5,1,7,8,7,7,9,9,0,0,0,0,0
Asset and Maintenance Management,5,6,2,8,4,3,2,2,8,4,5,9,5,8,7,7,7,9,9,0,0,0,0,0
Business Process Management and Robotic Process Automation,10,10,4,10,10,9,2,2,9,8,8,9,5,9,7,8,7,9,8,0,0,0,0,0
Computer-Aided-Design Softwares,3,3,2,2,1,8,10,2,4,10,3,1,9,9,9,8,3,9,8,0,0,0,0,0
Computer-Aided-Engineering Softwares,3,8,2,2,1,4,3,2,3,8,8,5,9,7,7,7,8,9,9,0,0,0,0,0
"""Chart, Diagram and Graph Development Tools""",1,8,4,6,1,8,7,2,7,9,3,1,1,8,8,8,2,5,8,0,0,0,0,0
Customer Relationship Management and Marketing Automation,9,8,8,8,6,2,6,2,3,3,4,5,9,7,7,8,4,9,7,0,0,0,0,0
Data Analytics and Business Intelligence,8,10,3,9,7,6,3,2,7,5,6,9,9,7,5,7,6,9,9,0,0,0,0,0
Digital Twin Development Tools,9,9,2,8,7,5,9,8,4,9,8,9,9,7,8,7,8,9,8,0,0,0,0,0
Enterprise Management Systems and Tools,10,7,6,10,9,7,2,2,7,4,4,9,9,8,7,6,9,9,7,0,0,0,0,0
Feedback and Survey Platforms,1,8,8,7,6,6,7,10,3,3,3,1,3,7,9,7,2,9,8,0,0,0,0,0
Finance Management and Accounting,6,7,2,5,7,4,1,2,7,4,8,9,7,8,6,5,6,9,9,0,0,0,0,0
Human Resource and Talent Management,3,1,3,1,2,1,1,9,2,1,4,5,9,7,7,8,4,9,7,0,0,0,0,0
Information and Knowledge Management,3,3,7,4,3,10,6,8,2,2,3,5,1,5,8,7,6,9,8,0,0,0,0,0
Integrated Development Environments and Programming Languages,8,3,7,1,10,2,9,2,1,10,4,5,5,8,8,7,5,9,8,0,0,0,0,0
Inventory and Warehouse Management,4,5,2,6,7,1,1,2,7,4,5,9,5,8,7,8,6,9,9,0,0,0,0,0
Manufacturing Management Tools,5,5,2,2,8,2,2,2,7,3,6,5,9,8,7,8,6,9,9,0,0,0,0,0
Mind Maps and Whiteboards Tools,2,3,9,1,1,9,10,7,9,9,2,1,1,8,8,8,2,9,8,0,0,0,0,0
Procurement and Spend Management Tools,5,5,1,6,6,2,2,2,7,4,4,5,9,8,8,8,6,9,9,0,0,0,0,0
Product Lifecycle Management Tools,7,5,4,7,6,7,2,2,5,4,7,9,9,7,7,7,8,9,9,0,0,0,0,0
Project Management Tools,6,3,10,6,6,5,3,2,10,4,3,1,1,8,9,7,3,9,8,0,0,0,0,0
Quality Management Tools,8,8,3,8,6,7,2,2,6,4,8,9,7,7,5,8,8,5,9,0,0,0,0,0
Quality Management Tools,8,8,2,5,2,8,8,7,4,10,8,9,1,7,5,6,8,5,9,0,0,0,0,0
Team Collaboration Platforms,4,2,10,2,6,3,6,7,4,4,5,5,1,8,7,8,4,9,8,0,0,0,0,0
Training & E-Learning Tools,7,2,2,1,1,2,3,10,2,2,5,5,5,8,7,6,4,9,8,0,0,0,0,0
Transportation and Logistics Management,5,3,1,2,6,2,2,2,4,3,4,9,9,7,8,8,7,9,9,0,0,0,0,0
Version Control Systems,7,2,4,6,3,6,3,1,3,3,5,1,5,7,8,8,5,5,9,0,0,0,0,0
New digital tool,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,10,1,10,1,0,0,0,0,0
